city,district,exposure,size,building_year,bedrooms,bathrooms,kitchen,garage,driver_room,maid_room,furnished,ac,rooftop,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
Riyadh,Al-Wurud,Northeast,580,2001,7,5,1,1,1,1,0,1,0,0,1,0,0,1,0,0,150000
Riyadh,Al-Narjis,East,230,2020,3,5,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
Riyadh,Hattan,North,460,2020,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,400000
Riyadh,Al-Malqa,East,228,2020,4,5,1,1,1,1,0,1,0,0,1,0,1,1,0,0,150000
Riyadh,Al-Ardeh,North,200,2017,5,5,1,1,1,1,1,1,1,0,1,0,1,1,0,1,110000
Riyadh,Al-Yasmeen,Northeast,350,2017,5,5,1,1,1,1,0,1,0,0,1,0,0,1,0,1,125000
Riyadh,Al-Sulaymaniyah,Southwest,300,2014,4,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,125000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Manakh,North,600,2016,7,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,140000
Riyadh,Al-Hazm,East,298,2020,5,5,1,1,0,1,0,0,1,0,1,0,1,1,0,0,50000
Riyadh,Ar-Ramal,North,300,2020,4,5,1,1,1,1,0,0,0,0,1,0,0,1,0,0,45000
Riyadh,Al-Ardeh,South,300,2020,4,5,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
Riyadh,Al-Badiah,North,1600,1986,5,5,1,1,1,1,0,0,1,0,1,0,0,1,0,0,70000
Riyadh,Al-Narjis,East,250,2020,4,5,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
Riyadh,Al-Ardeh,East,375,2018,5,5,1,1,1,1,1,1,1,0,1,0,0,1,0,1,110000
Riyadh,Ash-Shuhadah,East,300,2006,7,5,0,1,1,1,0,0,0,0,1,0,1,1,0,0,50000
Riyadh,Al-Rawdah,West,3000,2002,3,5,1,1,1,1,1,1,0,1,1,1,0,0,0,0,250000
Riyadh,Qurtubah,East,312,2011,4,5,1,0,1,1,0,1,0,0,1,0,0,1,0,1,85000
Riyadh,Al-Sihafa,West,350,2019,5,5,1,0,1,1,0,1,0,0,1,1,0,1,0,1,90000
Riyadh,Al-Arija Al-Gharbiyah,Three Streets,1600,2017,5,5,1,1,1,1,0,0,1,0,1,0,0,0,0,0,250000
